img_path,Marke,Produktname,Original Preis,Reduzierter Preis,Gewicht
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\1\hit_2452350_1_2443.png, , Deutsches frisches Hackfleisch gemischt, , 2.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\1\hit_2452350_1_2450.png, Darbo, Konfitüre, 2.69, 2.69, 450 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\2\hit_2452350_2_2453.png, , Niederlande Joyn Strauchtomaten, 2.99, 2.22, 400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\2\hit_2452350_2_2457.png, , Italien Tafeltrauben mit Kern, , 3.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\2\hit_2452350_2_2456.png, , Deutschland Kohlrabi, 0.89, 0.66, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\3\hit_2452350_3_2470.png, Spreewald-Feldmann, Gewürzgurken, 1.99, 1.59, 720 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\3\hit_2452350_3_2471.png, Mutti, Passata, 2.49, 1.99, 700 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\3\hit_2452350_3_2479.png, Ben's Original, Reis lose oder im Kochbeutel, , 1.79, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2466398\1\hit_2466398_1_5101.png, , Mon Chéri, , 2.22, 157 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2466398\1\hit_2466398_1_5115.png, , Deutscher frischer Jungbullen-Braten Gulasch, 13.99, 13.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2466398\2\hit_2466398_2_5132.png, , Deutschland Salatherzen, 1.99, 1.39, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\4\hit_2639592_4_33852.png, , Frisch gepresster Granatapfelsaft, 2.99, 2.79, 250 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\4\hit_2639592_4_33857.png, , Namibia Tafeltrauben kernlos, 7.90, 4.90, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\4\hit_2639592_4_33859.png, Chiquita, Bananen, 1.99, 1.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\4\hit_2639592_4_33861.png, , Spanien Gurken, 0.79, 0.79, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\4\hit_2639592_4_33862.png, , Spanien Kohlrabi, 0.69, 0.69, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\19\hit_2639592_19_33810.png, Hawesta, Heringsfilets, 1.29, 1.11, 200 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\18\hit_2639592_18_33789.png, Pedigree, Hundefutter, , 2.29, 800 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\18\hit_2639592_18_33794.png, Palmolive, Flüssigseife, 1.49, 1.29, 300 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\13\hit_2639592_13_33703.png, Odenwald, Schattenmorellen, 2.99, 2.79, 720 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2639592\10\hit_2639592_10_33663.png, Tillman's, Toasty Geflügel, 3.69, 2.99, 280 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2577235\1\hit_2577235_1_23899.png, , Spanien Clementinen im Jutesack, , 2.99, 1.5 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2577235\1\hit_2577235_1_23896.png, Oatly, Haferdrink, , 1.59, 1 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2563724\9\hit_2563724_9_20555.png, Lacroix, Paste, , 0.99, 40 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\42\kaufland_2638415_42_33111.png, K-CLASSIC Rapsöl, 1.49, 1.11, 1-l,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2443964\5\kaufland_2443964_5_1251.png, RITTER SPORT, Schokolade Bunte Vielfalt, 1.89, 1.11, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\4\kaufland_2638415_4_33090.png, EM-EUKAL, Hustenbonbons zuckerfrei, 1.75, 0.99, 75-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\5\kaufland_2638415_5_33123.png, MONSTER, Energy Drink, , 0.77, 0.5-l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\7\kaufland_2638415_7_33137.png, , Ital./span. Cherryrispentomaten, , 1.79, 500-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\8\kaufland_2638415_8_33141.png, K-CLASSIC, Brotaufstrich, 1.29, 0.88, 150-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\8\kaufland_2638415_8_33144.png, K-CLASSIC, Salatdressing, 1.49, 1.19, 500-ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\8\kaufland_2638415_8_33146.png, K-CLASSIC, Hirtenkäse, , 1.49, 250-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\9\kaufland_2638415_9_33148.png, K-CLASSIC, Frikadellen, 2.99, 2.22, 500-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\9\kaufland_2638415_9_33151.png, K-CLASSIC, Blüten- oder Waldhonig, 2.99, 2.59, 500-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\10\kaufland_2638415_10_32814.png, K-CLASSIC, Haferflocken, 0.79, 0.59, 500-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\10\kaufland_2638415_10_32819.png, K-BIO, Bio-Basmati-Reis, 1.79, 1.39, 500-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\11\kaufland_2638415_11_32822.png, K-CLASSIC, Walnusskerne, , 1.99, 200-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\13\kaufland_2638415_13_32829.png, K-CONCEPT+ SPORTS, Energieriegel, 0.85, 0.68, 45-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\14\kaufland_2638415_14_32835.png, , Dtsch./niederl. Broccoli, , 1.29, 500-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\14\kaufland_2638415_14_32838.png, SNACK IT, Vege Story Snack, 1.99, 1.49, 90-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\15\kaufland_2638415_15_32841.png, KATJES, Fruchtgummis oder Lakritze, 1.19, 0.59, 175-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\15\kaufland_2638415_15_32843.png, VIOLIFE, Vegane Scheiben Gouda Art, 2.39, 1.99, 140-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\15\kaufland_2638415_15_32847.png, NUTELLA, Nuss-Nugat-Creme, , 3.49, 350-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\15\kaufland_2638415_15_32849.png, FRITT, Vegane Kaubonbon-Streifen, 0.89, 0.69, 56-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\15\kaufland_2638415_15_32850.png, POPP, Veganer Meistersalat, 1.99, 1.59, 150-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32851.png, , Gemüsemischungen, , 1.99, 400-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32855.png, , Dtsch./ital. Tafeläpfel rot, , 2.49, 2-kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32856.png, , Ital. Kiwi lose, , 0.39, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32859.png, , Dtsch. Zwiebeln, , 0.99, 2-kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32860.png, , Türk. Granatapfel lose, , 1.79, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32862.png, , Span./griech. Orangen XXL, , 3.49, 3-kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\17\kaufland_2638415_17_32863.png, , Span. Staudensellerie, , 0.99, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\17\kaufland_2638415_17_32865.png, , Span. Bio-Avocados, , 1.99, 2-St.
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\17\kaufland_2638415_17_32868.png, , Dtsch. Möhren, , 0.89, 1-kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\24\kaufland_2638415_24_32927.png, NESCAFÉ Gold, löslicher Bohnenkaffee, , 6.99, 200-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\24\kaufland_2638415_24_32932.png, SNACKMASTER, Mikrowellen-Pommes, 1.39, 1.11, 140-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\2\lidl_2638436_2_33224.png, , Bio Baby Spinat, , 1.59, 125 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\2\lidl_2638436_2_33225.png, , Bio Ingwer lose, , 0.69, 100-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\2\lidl_2638436_2_33226.png, , Bio Zitronen, , 1.69, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\6\lidl_2638436_6_33398.png, Milbona, Rote Grütze, 1.99, 1.39, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\6\lidl_2638436_6_33402.png, Milbona, Speisequark, 1.45, 1.11, 500
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\7\lidl_2638436_7_33405.png, Milbona, Schoko Drink, 0.79, 0.59, 500 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\7\lidl_2638436_7_33408.png, Milbona, Milchdrink, 0.89, 0.69, 500 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\7\lidl_2638436_7_33410.png, Milbona, Zaziki, 1.79, 1.11, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\10\lidl_2638436_10_33163.png, Metzgerfrisch, Bio Wurstaufschnitt, 1.79, 1.49, 125 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\12\lidl_2638436_12_33172.png, Erdtmanns, Sonnenblumenkerne, , 1.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\14\lidl_2638436_14_33174.png, AriZona, Iced Tea/ Fruit Juice Cocktail, 2.39, 1.49, 2 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\15\lidl_2638436_15_33180.png, Hitchcock, Shots, 3.99, 3.79, 0.5 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\15\lidl_2638436_15_33183.png, Delverde, Pasta, 3.58, 1.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\15\lidl_2638436_15_33186.png, Grafschafter, Pure Kornkraft Haferbrot, , 1.29, 400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\15\lidl_2638436_15_33187.png, Iglo, Vegetarische Pastagerichte, 3.99, 2.99, 450 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\16\lidl_2638436_16_33190.png, Hilcona, Minis, 2.99, 2.49, 600 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\16\lidl_2638436_16_33191.png, Langnese, Honig, 4.49, 3.99, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\16\lidl_2638436_16_33201.png, Billie Green, Vegane Salami, 1.69, 1.29, 70 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\17\lidl_2638436_17_33204.png, Finish, Power Tabs, 12.95, 9.99, 86 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\17\lidl_2638436_17_33210.png, Cien, Reichhaltige Tagespflege, 1.65, 1.39, 50 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\18\lidl_2638436_18_33213.png, Milbona, Schlagsahne XXL, , 1.89, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\56\lidl_2638436_56_33392.png, Iglo, Rahm-Spinat, 3.29, 1.79, 750 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\42\lidl_2638436_42_33315.png, esmara, Jeans, , 9.99, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\36\lidl_2638436_36_33280.png, CRIVIT, Funktions-Jacke, , 14.99, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\23\lidl_2638436_23_33246.png, LIVARNO home, Glasschüssel-Set 5-teilig, , 12.99, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\19\lidl_2638436_19_33215.png, Coshida, Katzenstreu XXL, , 3.95, 8 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\5\metro_2492948_5_7237.png,METRO Chef,Dry aged Irisches Tomahawk-Steak,,27.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\20\metro_2492948_20_7120.png,Sea Lord,Rum,,6.99,0.7l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\20\metro_2492948_20_7121.png,Segafredo,Caffè Crema,,10.27,1000g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\20\metro_2492948_20_7122.png,Tullamore Dew,Irish Whiskey,,11.49,0.7l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\14\metro_2492948_14_7067.png,Bonne Maman,Konfitüre/Gelee,,2.29,370g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\14\metro_2492948_14_7068.png,Rapso,100% reines Rapsöl,,3.25,750ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\14\metro_2492948_14_7071.png,Oro di Parma,Tomaten,,0.99,425ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\14\metro_2492948_14_7073.png,De Cecco,Italienische Pasta,,1.19,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\14\metro_2492948_14_7074.png,Knorr,Schlemmersaucen,,0.92,250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\1\nahkauf_2450246_1_2205.png,Weihenstephan,Naturjoghurt mild,,0.88,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\1\nahkauf_2450246_1_2206.png,Chiquita,Bananen,,1.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\1\nahkauf_2450246_1_2207.png,Havana Club,Anejo 3 Anos,,9.99,0.7l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2208.png,,Muskat Kürbis,,1.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2209.png,,Romana Salatherzen,,1.19,3St. Pckg.
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2210.png,Rewe Bio,Bio Spagehtti Kürbis,,1.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2211.png,,Helle Tafeltrauben,,1.99,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2212.png,,Blumenstrauß Coffeetime,,7.99,Bund
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2213.png,Valensina,Saftorangen,,2.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2214.png,Rewe Regional,Hokkaido Kürbis,,0.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2215.png,Rewe Bio,Bio Butternut Kürbis,,1.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2217.png,,Mandarinen,,1.99,750g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\3\nahkauf_2450246_3_2218.png,Milram,Frühlingsquark,,0.99,185g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\3\nahkauf_2450246_3_2220.png,Popp,Feinster Fleischsalat,,1.29,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\3\nahkauf_2450246_3_2221.png,,Fruchtmix,,1.59,150g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\3\nahkauf_2450246_3_2224.png,Mövenpick,Feinjoghurt,,0.69,150g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2231.png,Chio,Tortillas,,1.11,110g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2233.png,Skyy,Vodka,,10.99,0.7l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2234.png,Erasco,Eintopf,,1.99,800g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2236.png,Knorr,Pasta Pot,,0.99,63g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2237.png,Lenor,Waschmittel,,3.79,20WL
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2238.png,Birkel,Nudeln,,1.19,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\7\nahkauf_2450246_7_2240.png,REWE Bio,Zitronensaft,,1.29,250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\7\nahkauf_2450246_7_2241.png,REWE Bio,Linseneintopf,,1.19,400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\7\nahkauf_2450246_7_2242.png,REWE Bio,Beerenmix,,1.99,300g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2465388\6\norma_2465388_6_4646.png,Knoppers, Mini,2.99,1.99,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2465388\6\norma_2465388_6_4649.png,Trolli,Multi Mix XXL,2.99,2.22,430g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2465388\6\norma_2465388_6_4650.png,Toffifee,Haselnuss in Caramel und Nougatcreme und Schokolade,1.49,1.11,125g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2465388\6\norma_2465388_6_4653.png,Fritt,Minis Maxi-Pack,4.29,2.99,350g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2465388\6\norma_2465388_6_4654.png,Prime,Hydration,2.49,1.79,0.5l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2547782\15\norma_2547782_15_18776.png,Heinz,Tomato Ketchup,3.49,2.99,1.17l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2547782\15\norma_2547782_15_18778.png,Stroh,Rum 80,16.99,12.99,0.5l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2547782\15\norma_2547782_15_18779.png,Bee Garden,Blütenhonig,6.99,4.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2547782\15\norma_2547782_15_18783.png,Soled,Küchentücher,3.29,2.99,3x150 Blatt
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2576344\6\norma_2576344_6_23677.png,Milka,Feine Kugeln,,1.69,90g 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2576344\6\norma_2576344_6_23678.png,Milka,Weihnachts-Täfelchen,3.89,3.33,150g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2576344\6\norma_2576344_6_23679.png,Harry,Dinkel Krüstchen,2.39,1.99,480g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2594726\4\norma_2594726_4_25334.png,Abraham,Bauern-Schinken,2.49,1.99,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2594726\4\norma_2594726_4_25335.png,Odenwald,Wild-Preiselbeeren,3.49,1.99,390g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2594726\4\norma_2594726_4_25338.png,Miracel Whip,Salatcreme,2.65,1.39,500ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2594726\4\norma_2594726_4_25339.png,Heinz,Feinkost Sauce,2.29,1.39,220ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2594726\4\norma_2594726_4_25341.png,Dovgan,Zarskaya Kaviarimitat,2.49,1.99,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\1\penny_2447156_1_1303.png,QUE VIVA ESPANA,Chorizo,,1.99,200g
,BEST MOMENTS,Frisches Kaninchen,,9.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\4\penny_2447156_4_1483.png,,Frisches Rindfleischpaket,,6.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\4\penny_2447156_4_1484.png,MÜHLENHOF REGIONAL,Frische grobe Schweine-Bratwurst,2.79,2.22,400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\4\penny_2447156_4_1486.png,MÜHLENHOF,Frische Schweine-Mini-Schnitzel,,3.49,400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\4\penny_2447156_4_1487.png,MÜHLENHOF,Frischer Puten-Rollbraten,5.99,4.99,800g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1498.png,SETTELE,Eier-Spätzle,4.19,2.99,1000g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1499.png,MILRAM,Gewürzquark,1.39,0.99,185g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1500.png,LÄTTA,Halbfettmargarine,1.99,1.11,450g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1501.png,Exquisa,Frischkäsezubereitung,1.89,0.99,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1502.png,SANELLA,Streichfett,1.99,1.29,400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1503.png,STARBUCKS,Frappuccino,2.59,1.59,250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1504.png,ELITE,Smoothie-Joghurt,,0.55,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1506.png,ALPRO,Haferdrink,2.39,1.59,1l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1507.png,BERIDA,Kabeljaufilet,,5.99,540g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1508.png,ZOTT,Monte,2.69,1.49,4x100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\11\penny_2447156_11_1324.png,PAMPERS,Feuchttücher,,5.99,6x52 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\11\penny_2447156_11_1327.png,Wash & Go,Shampoo & Conditioner,,1.49,400ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\10\rewe_2449057_10_1521.png,Bonbel,Butter-Käse,,1.49,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\10\rewe_2449057_10_1522.png,Harry,Körner Balance Toast oder Butter Toast,,1.29,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\10\rewe_2449057_10_1523.png,Wiesbauer,Bergsteiger Salami,,3.99,300g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\10\rewe_2449057_10_1527.png,Brandt,Finn Crisp,,1.49,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\11\rewe_2449057_11_1531.png,Nestle,Mousse,,1.69,4x57g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\11\rewe_2449057_11_1532.png,Popp,Feinster Fleischsalat,,1.29,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\11\rewe_2449057_11_1533.png,Eleplant,Pflanzliches Streichfett,,1.29,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\11\rewe_2449057_11_1534.png,Milram,Frühlingsquark,,0.99,185g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\11\rewe_2449057_11_1536.png,Mövenpick,Feinjogurt,,0.69,150g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\11\rewe_2449057_11_1537.png,Vly,Erbsenproteindrink,,1.99,1l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\11\rewe_2449057_11_1538.png,Bärenmarke,H- oder Frischmilch,,1.11,1l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1558.png,Milram,Frucht-Muttermilch,,1.20,750g
